Date,Open,High,Low,Close,Adj Close,Volume
2022-10-03,8975.000000,9000.000000,8825.000000,8900.000000,8900.000000,14174700
2022-10-04,8925.000000,9000.000000,8850.000000,8850.000000,8850.000000,29190100
2022-10-05,8900.000000,8975.000000,8850.000000,8850.000000,8850.000000,32491500
2022-10-06,8900.000000,8950.000000,8800.000000,8900.000000,8900.000000,11984500
2022-10-07,8850.000000,8875.000000,8750.000000,8775.000000,8775.000000,18278000
2022-10-10,8700.000000,8775.000000,8650.000000,8750.000000,8750.000000,16389000
2022-10-11,8750.000000,8750.000000,8600.000000,8700.000000,8700.000000,28479500
2022-10-12,8675.000000,8775.000000,8600.000000,8650.000000,8650.000000,23013100
2022-10-13,8700.000000,8875.000000,8675.000000,8750.000000,8750.000000,30461800
2022-10-14,8825.000000,8850.000000,8425.000000,8425.000000,8425.000000,24934700
2022-10-17,8425.000000,8625.000000,8350.000000,8575.000000,8575.000000,23011800
2022-10-18,8575.000000,8700.000000,8575.000000,8675.000000,8675.000000,17044700
2022-10-19,8725.000000,8800.000000,8600.000000,8775.000000,8775.000000,13143600
2022-10-20,8700.000000,9075.000000,8700.000000,9000.000000,9000.000000,37227000
2022-10-21,9000.000000,9175.000000,8975.000000,9000.000000,9000.000000,33573700
2022-10-24,9025.000000,9425.000000,9025.000000,9350.000000,9350.000000,46995500
2022-10-25,9550.000000,9675.000000,9425.000000,9425.000000,9425.000000,39513300
2022-10-26,9500.000000,9500.000000,9225.000000,9225.000000,9225.000000,28650700
2022-10-27,9250.000000,9475.000000,9225.000000,9350.000000,9350.000000,16284100
2022-10-28,9350.000000,9375.000000,9125.000000,9325.000000,9325.000000,33512100
2022-10-31,9400.000000,9475.000000,9350.000000,9400.000000,9400.000000,28521800
2022-11-01,9400.000000,9500.000000,9250.000000,9400.000000,9400.000000,20721900
2022-11-02,9400.000000,9400.000000,9150.000000,9250.000000,9250.000000,24887500
2022-11-03,9250.000000,9400.000000,9175.000000,9300.000000,9300.000000,23874300
2022-11-04,9275.000000,9300.000000,9225.000000,9275.000000,9275.000000,16534100
2022-11-07,9275.000000,9350.000000,9225.000000,9275.000000,9275.000000,21582300
2022-11-08,9300.000000,9350.000000,9200.000000,9250.000000,9250.000000,17164600
2022-11-09,9300.000000,9350.000000,9250.000000,9300.000000,9300.000000,22177200
2022-11-10,9275.000000,9300.000000,9100.000000,9275.000000,9275.000000,17528000
2022-11-11,9425.000000,9475.000000,9275.000000,9300.000000,9300.000000,38289100
2022-11-14,9300.000000,9325.000000,9075.000000,9100.000000,9100.000000,26523200
2022-11-15,9150.000000,9200.000000,9075.000000,9125.000000,9125.000000,16181300
2022-11-16,9125.000000,9125.000000,8875.000000,9100.000000,9100.000000,42089700
2022-11-17,9100.000000,9300.000000,9025.000000,9275.000000,9275.000000,21225700
2022-11-18,9300.000000,9325.000000,9175.000000,9200.000000,9200.000000,17251500
2022-11-21,9150.000000,9275.000000,9125.000000,9175.000000,9175.000000,12276200
2022-11-22,9225.000000,9325.000000,9175.000000,9250.000000,9250.000000,12018300
2022-11-23,9250.000000,9325.000000,9250.000000,9250.000000,9250.000000,13240000
2022-11-24,9250.000000,9350.000000,9250.000000,9275.000000,9275.000000,16845600
2022-11-25,9275.000000,9300.000000,9225.000000,9300.000000,9300.000000,14269400
2022-11-28,9300.000000,9350.000000,9250.000000,9275.000000,9275.000000,23306700
2022-11-29,9275.000000,9425.000000,9275.000000,9375.000000,9375.000000,29655400
2022-11-30,9400.000000,9900.000000,9375.000000,9900.000000,9900.000000,114384500
2022-12-01,9900.000000,9950.000000,9675.000000,9700.000000,9700.000000,30021600
2022-12-02,9650.000000,9750.000000,9550.000000,9750.000000,9750.000000,37444300
2022-12-05,9750.000000,9825.000000,9650.000000,9750.000000,9750.000000,23175400
2022-12-06,9700.000000,9700.000000,9500.000000,9550.000000,9550.000000,40480300
2022-12-07,9550.000000,9600.000000,9375.000000,9500.000000,9500.000000,37483600
2022-12-08,9500.000000,9550.000000,9275.000000,9500.000000,9500.000000,30148800
2022-12-09,9575.000000,9575.000000,9425.000000,9550.000000,9550.000000,29214800
2022-12-12,9550.000000,9650.000000,9425.000000,9525.000000,9525.000000,18345000
2022-12-13,9600.000000,9650.000000,9500.000000,9650.000000,9650.000000,22228800
2022-12-14,9675.000000,9750.000000,9475.000000,9525.000000,9525.000000,25656700
2022-12-15,9500.000000,9600.000000,9375.000000,9475.000000,9475.000000,22763000
2022-12-16,9400.000000,9800.000000,9350.000000,9800.000000,9800.000000,53390700
2022-12-19,9700.000000,9750.000000,9425.000000,9425.000000,9425.000000,30274900
2022-12-20,9450.000000,9525.000000,9325.000000,9450.000000,9450.000000,18997900
2022-12-21,9500.000000,9500.000000,9325.000000,9350.000000,9350.000000,20468300
2022-12-22,9400.000000,9450.000000,9350.000000,9425.000000,9425.000000,15069500
